,_id,authorcountry,recommended,airlinename,cabin,rating_overall,reviewcontent,route,poswdcnt,negwdcnt,lsentiment
10,58994af99bf56223b02ab870,United Kingdom,1,pia-pakistan-international-airlines,Economy,9.0,I found my trip from LHR-ISB very easy going and comfortable the flight left on time crew and staff were very enthusiastic and willing to help the plane itself was clean and presentable with great legroom a good amount of movies to choose from. In flight meals and snacks were efficiently given out and had plenty in terms of choice same on the return journey! The airline operates a more than generous 40kg allowance per passenger which is another added bonus.,,13,1,12
11,58994af99bf56223b02ab871,United Kingdom,1,norwegian,Economy,9.0,EDI-ARN-EDI. They text you flight details on opening of check-in (2 hours before the flight) along with gate number which is useful information. Manual check-in only at Edinburgh as they do not offer online check-in however no queues. Older B737-300 and did not have wifi available. They did have the new slimline leather seats and seat pitch was more than adequate but for those taller than 5'6 it maybe more of an issue. Staff on board were friendly and onboard food available to buy was reasonably priced and looked of good quality. Landed in Stockholm early. Return flight similar to outgoing. Norwegian take part in Arlanda's common check-in kiosk system which allows you to check-in at Stockholm Central Railway Station before catching the Arlanda Express. Baggage allowance is generous and flexible. Landing at Arlanda is a big bonus as is allocation of seats before boarding and the overall service is worth the little bit extra over the competing service offered by Ryanair to Skavsta (which isn't even in Stockholm) - also without the general unpleasantness with that operator. Overall very satisfied with the service.,,16,6,10
12,58994af99bf56223b02ab873,Switzerland,0,turkish-airlines,Business Class,3.0,Flew GVA-IST-AUH. Seats were dirty and could hardly be reclined footrest is a joke. On both legs staff rushed through the meal to the point where my husband had to physically hold on to his tray (IST-AUH). Staff not very friendly no greeting during boarding and an unapproachable attitude during the flights seats in front of us were used by cabin crew to sleep during the flight between IST-AUH. Entertainment system was poor compared to what other airlines have to offer. On both flights the toilet was smelly and did not feel clean. Not looking forward to our return flights nor the changing of planes in Istanbul we will avoid them in the future.,,6,5,1
13,58994af99bf56223b02ab874,United Kingdom,1,kenya-airways,Economy,5.0,Just last week I was on another Kenya Airways flight but this time the experience far from what I'd expected. The aircraft itself had only just returned to Nairobi with a full load of passengers about an hour before we boarded it. Of course it had been prepared for our flight but not well enough - the toilet I used even before departure was grubby the carpeting on the floor of the passenger cabin still had tiny remnants of a food spill from the previous flight the inflight entertainment system worked only partly - the flight tracker did not work at all throughout the 8 hr flight to Amsterdam - the choice in movies and music was so limited and the sound quality so inadequate. A far cry from the very enjoyable flight on the KLM B747-400 that had flown me on the outward leg. But the food was fairly good and there was one or two particularly attractive flight attendants.,,10,5,5
14,58994af99bf56223b02ab875,Finland,1,turkish-airlines,Economy,7.0,"This was my first time on Turkish Airlines (Helsinki-Istanbul-Helsinki). The plane was ok I liked the leather seats and there was enough space for me. The seats seemed a bit ""worn out "" to me though. The plane could have been tidier I guess it had just brought passengers to Helsinki and there was only a little time to clean it. The toilets were much cleaner than on other airliners' planes which was nice. Food was really good and it felt luxurious to be able choose from two menus! They showed quite new movies during the flight but when we flew back to Helsinki there was no sound coming from the audio system. This problem affected all the passengers not just me. The flight attendant couldn't do anything about this problem. What really upset me was the cabin crew's attitude on safety matters. Flight attendants didn't care at all about the position of passengers' seats tray tables or hand luggage during take off and landing. It definitely didn't give a good impression of safety issues. I have also got used to cabin crew paying attention to seat belt sign during turbulent weather but they just let people move around and use toilets normally.",,16,9,7
15,58994af99bf56223b02ab876,Austria,0,turkish-airlines,Business Class,4.0,Although seats are very good there are severe limitations: Istanbul Airport offers no extra tracks for Business class passengers which means that you have to line up with all the others in the middle of the night/early in the morning (usually) to pass the overcrowded security checks. There is a fast track lane but it was always closed when I needed to pass it (4 times in the past 2 months). Istanbul airport is deplorable not coping with the rapid expansion of TK. This means that your expensive Business class experiences finds a rather unpleasant middle piece. Even more disturbing is the very wrong catering service concept and staff quality. Usually one pays for an expensive business class seat to find rest and piece and some sleep. TK assumes that you are in it for the culinary experience and serve food regardless of the flying time thus limiting the rest time severely. For instance while flying from Istanbul to Cape Town TK started serving dinner at midnight for over 3 hours. Then they wake you up 2 hours before landing to serve breakfast. Even worse is that the crew is serving and removing the food very noisily moving plates glasses etc for hours. The 11 hours flight to Cape Town thus had only 3 hours of quite sleeping time. Worst affected are the first and last rows of the business class being close to the pantry. Another bad example was the flight from Istanbul to Doha: here same procedure: although guests wanted to sleep right after the take-off (midnight again). Food was served almost the entire flight (4 hours). Noise was unbearable as the pantry did not even had a shielding curtain. Besides the fact that the food is nothing special the quality of the crews is very heterogeneous. During the flight to Doha the chief cabin attendant was reading the newspaper drank tea in front of the business class passengers (no curtain) and was observing leisurely the work of his subordinates. The staff chats constantly with each other and although there are more than enough attendants on board it is not possible to place a successful request as the chain of command is long and unclear responsibilities seem to exist.,,12,22,-10
16,58994af99bf56223b02ab878,United Kingdom,1,etihad-airways,Business Class,8.0,I booked to travel from MAN to AUH on EY22 on 20th Dec. I called EY's call centre to upgrade using miles/cash to business where I was assured that there are plenty of seats available and should head to the airport 3 hrs before departure to process this. The information given was completely incorrect as the desks opened 4 hrs before departure and all seats were taken by then which was very frustrating and disappointing. EY ground staff and EY's Business class lounge staff at MAN acknowledged the mishap and were very courteous and attentive and attempted to solve this problem. Return flight on EY21 on the 29th of December light load in J class we were well looked after by the excellent crew in J. as usual EY's catering is excellent cabin crew attentive and good hard product. I just wish they sort out the unhelpful call centre and bring back the old amenity kits in J class with Aigner products that were infinitely better than the current cheap substitutes.,,17,7,10
17,58994af99bf56223b02ab879,Canada,0,pia-pakistan-international-airlines,Economy,,I traveled from YYZ-KHI with PIA last year. My first and last time with PIA. I would rather pay a few extra bucks and fly Emirates or Turkish Airlines. During my flight my seat was broken and I asked the male flight attendant to change my seat. He just gave me a dry response by saying that the flight was full. I was shocked to hear this type of customer service. The least he could have done was to offer to fix the seat. I was sitting on the broken seat for 14 hours. I didn't go to the washroom because 2 of them were leaking and the other was out of order. The IFE system did not work at all and when I asked the flight attendant to fix it he said ok and just disappeared. Overall a very bad experience with PIA and there are a lot more options.,,6,5,1
18,58994b129bf56223b02b4659,,0,yemenia,,,I travelled on Yemenia several times. The main problem is the lack of professionalism and punctuality .,,1,2,-1
19,58994af99bf56223b02ab87a,,0,pia-pakistan-international-airlines,,,Travelled economy plus to Lahore from Mnachester Lahore to Bahawalpur the following day. Boeing 777. The seats were more comfortable than economy and service was excellent. Hot food friendly stewards and great IFE. Cabin crew were attentive catering for the needs of my 2 year old daughter. Lahore to Bahawalpur was better experience as the plane was half empty. Return journey the same. But the accommodation for the transit passengers was not good.,,9,2,7
20,58994af99bf56223b02ab87b,United Kingdom,0,royal-jordanian-airlines,Economy,4.0,First time travelling RJ from London to Amman to Madinah and Jeddah to Amman to London return. Reserved seats for all four flights for me my wife and 8 year old daughter. Not one of the flights had us seated together. Had to request other kind passengers to move. Food is fish meat or veg with same sauce. Seats were average with leg room better on the short haul flights than the long haul which was irritating. A lot of the passengers were unhappy with the allocation of seats. Looks like RJ cant deal with full capacity.,,5,3,2
21,58994af99bf56223b02ab87d,Australia,0,etihad-airways,Business Class,1.0,"Terrible experience with Etihad. Booked 5 business class seats Sydney-Abu Dhabi-Cairo return for family with 3 children. Thought it would make the trip easier as younger 2 kids only 5 and 2. Also Business promised overnight hotel accommodation in Abu Dhabi so we justified the huge expense and thought we'd travel in style! Every leg we were seated separately including putting the 2 year old next to strangers. Just assumed I guess we would have seating together. After first leg refused to change seating for other legs. Refused - told we had to wait until on the aircraft and for attendants to approach other passengers to change. Watched anxiously on every leg as they seated and settled every other passenger before they would try to get my kids near us. Arrived late at night after long flight into Abu Dhabi from Sydney expecting hotel room. Airport almost deserted eventually found long line of weary travellers waiting for single attendant. Waited in line for 2 hours with children and adults close to hysterical by then. Eventually reach end of line and are told no booking made for room for us - then later found. Kids in separate hotel room on another floor! Unable even to have adjacent rooms. Service in plane polite but hardly existent. Bell would expire before attended. Twice sent feedback to Etihad. First not even answered second approach through social media got quick request for details which I provided. Response then was not an apology but ""disappointment' at my negative 'impression' of their superior service and well trained staff. They assured me that just because I didn't get my 'preferred seating' (as if I'd just wanted a window seat rather than to be near my children) they win awards for their 'inspired' experience. Would never fly Etihad again!",,15,14,1
22,58994af99bf56223b02ab883,Qatar,0,etihad-airways,Business Class,1.0,Most of my travel is for holidays and two of my last two trips were on Etihad. The first was to South Africa on Etihad and South African the latest was on Etihad and Alitalia - both disastrous. We travelled from Doha through Abu Dhabi to Rome and onto Venice waiting for our Cruise in the Mediterranean now Alitalia ground staff have been on strike. Etihad knew of this strike but still checked my bags through to Venice knowing my bags could have not made it through. It has been three days without our bags and they can't even locate them and I will have to go on a 12 day cruise without luggage other than that I will have to fly with them to go back home.,,4,4,0
23,58994af99bf56223b02ab885,Qatar,1,lufthansa,Business Class,9.0,This was my return flight from Paris CDG to DOH via FRA in Business Class the flight from CDG to FRA was on an Airbus A321 was comfortable with prompt efficient service all on time though I was troubled that at check in although I explained to the staff that I had fragile glass ornaments but they refused to put a handle with care stickers on my bags. The portion from Frankfurt to Doha was on an Airbus A330 with the new business class which was very nice and excellent service with wonderful meal selection I really liked the Bavarian Goose. Though the connection time was very short just one hour but all our bags made it through which was also very nice.,,10,4,6
24,58994af99bf56223b02ab886,Qatar,1,lufthansa,Business Class,9.0,I flew from Doha to Paris connecting in Frankfurt the brand new product with the slightly angled flat bed seats was offered on this A330-300 on the Doha to Frankfurt sector but I was told that not all flights on this route have the new product the seats are comfortable in the sitting and reclining position but not long enough for me when it is turned into a bed. The foot rest was very narrow the IFE screen was big but the movie and TV selection was not too big. Food was good and the portions where generous I enjoyed the crepe for breakfast no amenity kit was offered. Flight attendants were professional when needed they were present but otherwise they did not bother you when watching a TV program or a movie as does happen on other airlines. The flight from Frankfurt to Paris was on time comfortable and all our bags came through.,,5,2,3
25,58994af99bf56223b02ab888,Qatar,1,saudi-arabian-airlines,Business Class,10.0,Flew DOH-JED-DOH in Business Class. Service was very good IFE was adequate and easy to operate food was also average. Seats on the A320 were very comfortable and price was excellent when compared with the competition - the luggage allowance was very generous. I will use them on this route as the overall package is very attractive!,,8,1,7
26,58994af99bf56223b02ab88e,United Arab Emirates,1,flydubai,Economy,9.0,DXB-DOH-DXB Outbound on new 737-800 with AVOD IFE. Excellent system were you pay for what you want to watch. Short programs to full length movies cost between $2 - $7. Games and following flight path is free. Food onboard was adequate and reasonably priced. All flights arrived early and were 70% full. Leg room was quite tight but it is a low cost airlines. Dubai Terminal 2 is reasonable with a good variety of shops and restaurants. Cost was 30% of other airlines and definitely worth it.,,6,3,3
